Modelo,NSE_1h,NSE_3h,NSE_6h,NSE_12h,NSE_24h,Params
LSTM_TTD_Base,0.819984,0.83415955,0.83689135,0.8262005,0.7490438,119386
LSTM_TTD_Manning,0.8200949,0.8246007,0.8295262,0.83924186,0.7604039,119386
LSTM_TTD_Manning_SCS,0.7641115,0.7789831,0.78070056,0.81743073,0.8277193,119643
LSTM_TTD_Base_SCS,0.7492684,0.75030255,0.7608991,0.7612607,0.768432,119643
LSTM_TTD_Base_Fixed,0.7301638,0.74439836,0.75272197,0.75068223,0.7369741,119384
LSTM_TTD_Manning_SCS_Fixed,0.6859064,0.7074281,0.7162347,0.74483955,0.74416596,119640
LSTM_TTD_Base_SCS_Fixed,0.6702616,0.6805539,0.70430374,0.7231839,0.73861444,119640
LSTM_TTD_Manning_Fixed,0.6015625,0.6190143,0.64617,0.66720235,0.62109816,119384
LSTM,0.5994952,0.60323036,0.6182644,0.6479674,0.646333,119128
LSTM_Lumped,0.5246327,0.5398555,0.541639,0.556492,0.5888574,56664
